




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (8340)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_G4_seq_Li_K.genes_uniq.txt (FDR)
regulation of dendrite morphogenesis (GO:0048814)	67	54	27.13	+	1.99	2.54E-04	8.99E-03
regulation of dendrite development (GO:0050773)	104	80	42.12	+	1.90	2.64E-05	1.17E-03
nephron epithelium morphogenesis (GO:0072088)	64	48	25.92	+	1.85	1.59E-03	4.47E-02
nephron morphogenesis (GO:0072028)	66	49	26.73	+	1.83	1.82E-03	4.96E-02
ephrin receptor signaling pathway (GO:0048013)	86	63	34.83	+	1.81	5.17E-04	1.70E-02
negative regulation of neuron differentiation (GO:0045665)	70	51	28.35	+	1.80	1.73E-03	4.78E-02
positive regulation of axonogenesis (GO:0050772)	84	61	34.02	+	1.79	6.33E-04	2.02E-02
postsynapse organization (GO:0099173)	89	64	36.04	+	1.78	6.20E-04	1.99E-02
regulation of synapse assembly (GO:0051963)	99	71	40.09	+	1.77	3.30E-04	1.13E-02
dorsal/ventral pattern formation (GO:0009953)	76	54	30.78	+	1.75	1.84E-03	5.00E-02
histone acetylation (GO:0016573)	110	78	44.54	+	1.75	1.90E-04	7.01E-03
neurotransmitter secretion (GO:0007269)	81	57	32.80	+	1.74	1.77E-03	4.88E-02
signal release from synapse (GO:0099643)	81	57	32.80	+	1.74	1.77E-03	4.87E-02
renal tubule development (GO:0061326)	81	57	32.80	+	1.74	1.77E-03	4.86E-02
roof of mouth development (GO:0060021)	87	61	35.23	+	1.73	1.36E-03	3.90E-02
limbic system development (GO:0021761)	109	75	44.14	+	1.70	5.63E-04	1.82E-02
nephron epithelium development (GO:0072009)	98	67	39.69	+	1.69	1.34E-03	3.85E-02
stem cell population maintenance (GO:0019827)	118	80	47.78	+	1.67	4.98E-04	1.64E-02
maintenance of cell number (GO:0098727)	121	82	49.00	+	1.67	4.35E-04	1.46E-02
regulation of synapse organization (GO:0050807)	210	142	85.04	+	1.67	3.44E-06	1.85E-04
internal peptidyl-lysine acetylation (GO:0018393)	116	78	46.97	+	1.66	7.84E-04	2.42E-02
peptidyl-lysine acetylation (GO:0018394)	119	80	48.19	+	1.66	5.31E-04	1.74E-02
internal protein amino acid acetylation (GO:0006475)	118	79	47.78	+	1.65	6.59E-04	2.09E-02
cerebral cortex development (GO:0021987)	118	79	47.78	+	1.65	6.59E-04	2.08E-02
negative regulation of G1/S transition of mitotic cell cycle (GO:2000134)	111	74	44.95	+	1.65	1.08E-03	3.18E-02
regulation of synapse structure or activity (GO:0050803)	221	147	89.49	+	1.64	4.29E-06	2.27E-04
regulation of axonogenesis (GO:0050770)	161	107	65.20	+	1.64	1.04E-04	4.04E-03
regulation of cell junction assembly (GO:1901888)	202	134	81.80	+	1.64	1.20E-05	5.76E-04
regulation of extent of cell growth (GO:0061387)	112	74	45.35	+	1.63	1.46E-03	4.14E-02
pallium development (GO:0021543)	173	114	70.06	+	1.63	7.84E-05	3.15E-03
positive regulation of neuron projection development (GO:0010976)	161	106	65.20	+	1.63	1.35E-04	5.16E-03
positive regulation of nervous system development (GO:0051962)	274	180	110.96	+	1.62	6.26E-07	3.93E-05
positive regulation of neurogenesis (GO:0050769)	227	149	91.92	+	1.62	7.05E-06	3.54E-04
regulation of neuron projection development (GO:0010975)	447	292	181.01	+	1.61	2.61E-10	2.81E-08
regulation of neuron differentiation (GO:0045664)	193	126	78.16	+	1.61	3.84E-05	1.66E-03
hepaticobiliary system development (GO:0061008)	141	92	57.10	+	1.61	4.67E-04	1.55E-02
liver development (GO:0001889)	138	90	55.88	+	1.61	5.35E-04	1.74E-02
regulation of fat cell differentiation (GO:0045598)	128	83	51.83	+	1.60	1.00E-03	2.98E-02
neurotransmitter transport (GO:0006836)	142	92	57.50	+	1.60	6.23E-04	1.99E-02
regulation of signal transduction by p53 class mediator (GO:1901796)	201	130	81.40	+	1.60	4.06E-05	1.74E-03
regulation of neurogenesis (GO:0050767)	364	235	147.40	+	1.59	3.90E-08	2.99E-06
protein acetylation (GO:0006473)	138	89	55.88	+	1.59	8.83E-04	2.66E-02
branching morphogenesis of an epithelial tube (GO:0048754)	132	85	53.45	+	1.59	1.16E-03	3.39E-02
negative regulation of neurogenesis (GO:0050768)	143	92	57.91	+	1.59	6.49E-04	2.06E-02
kidney epithelium development (GO:0072073)	126	81	51.02	+	1.59	1.52E-03	4.29E-02
protein acylation (GO:0043543)	178	114	72.08	+	1.58	1.59E-04	5.92E-03
central nervous system neuron differentiation (GO:0021953)	183	117	74.11	+	1.58	1.48E-04	5.57E-03
positive regulation of developmental growth (GO:0048639)	169	108	68.44	+	1.58	3.00E-04	1.04E-02
circadian rhythm (GO:0007623)	138	88	55.88	+	1.57	1.13E-03	3.30E-02
negative regulation of neuron apoptotic process (GO:0043524)	146	93	59.12	+	1.57	7.32E-04	2.30E-02
negative regulation of nervous system development (GO:0051961)	148	94	59.93	+	1.57	7.79E-04	2.41E-02
negative regulation of Wnt signaling pathway (GO:0030178)	219	139	88.68	+	1.57	4.74E-05	1.99E-03
cell projection morphogenesis (GO:0048858)	507	321	205.31	+	1.56	5.11E-10	5.35E-08
plasma membrane bounded cell projection morphogenesis (GO:0120039)	503	318	203.69	+	1.56	7.15E-10	7.30E-08
axonogenesis (GO:0007409)	385	243	155.91	+	1.56	8.06E-08	5.76E-06
regulation of nervous system development (GO:0051960)	443	279	179.39	+	1.56	1.04E-08	8.90E-07
urogenital system development (GO:0001655)	324	204	131.20	+	1.55	1.12E-06	6.73E-05
neuron projection morphogenesis (GO:0048812)	499	314	202.07	+	1.55	1.26E-09	1.23E-07
renal system development (GO:0072001)	291	183	117.84	+	1.55	3.89E-06	2.08E-04
cell-cell signaling by wnt (GO:0198738)	350	220	141.73	+	1.55	4.14E-07	2.76E-05
Wnt signaling pathway (GO:0016055)	350	220	141.73	+	1.55	4.14E-07	2.75E-05
cell part morphogenesis (GO:0032990)	526	330	213.01	+	1.55	5.94E-10	6.14E-08
axon development (GO:0061564)	421	264	170.49	+	1.55	3.25E-08	2.54E-06
regulation of Wnt signaling pathway (GO:0030111)	377	236	152.67	+	1.55	1.97E-07	1.36E-05
telencephalon development (GO:0021537)	254	159	102.86	+	1.55	2.34E-05	1.04E-03
chromatin remodeling (GO:0006338)	173	108	70.06	+	1.54	5.51E-04	1.79E-02
covalent chromatin modification (GO:0016569)	367	229	148.62	+	1.54	3.59E-07	2.40E-05
regulation of neuron apoptotic process (GO:0043523)	210	131	85.04	+	1.54	1.43E-04	5.42E-03
regulation of trans-synaptic signaling (GO:0099177)	432	269	174.94	+	1.54	3.67E-08	2.84E-06
histone modification (GO:0016570)	363	226	147.00	+	1.54	4.97E-07	3.22E-05
cell morphogenesis involved in neuron differentiation (GO:0048667)	453	282	183.44	+	1.54	1.80E-08	1.48E-06
neuron projection guidance (GO:0097485)	278	173	112.58	+	1.54	1.27E-05	6.06E-04
modulation of chemical synaptic transmission (GO:0050804)	431	268	174.53	+	1.54	4.44E-08	3.34E-06
regulation of G1/S transition of mitotic cell cycle (GO:2000045)	156	97	63.17	+	1.54	1.03E-03	3.04E-02
axon guidance (GO:0007411)	277	172	112.17	+	1.53	1.54E-05	7.18E-04
regulation of canonical Wnt signaling pathway (GO:0060828)	298	185	120.68	+	1.53	6.12E-06	3.15E-04
regulation of muscle cell differentiation (GO:0051147)	145	90	58.72	+	1.53	1.81E-03	4.96E-02
morphogenesis of embryonic epithelium (GO:0016331)	145	90	58.72	+	1.53	1.81E-03	4.95E-02
positive regulation of cell growth (GO:0030307)	166	103	67.22	+	1.53	8.81E-04	2.66E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	116	75.73	+	1.53	4.32E-04	1.45E-02
forebrain development (GO:0030900)	387	240	156.72	+	1.53	2.69E-07	1.83E-05
positive regulation of cell development (GO:0010720)	300	186	121.49	+	1.53	6.47E-06	3.28E-04
respiratory system development (GO:0060541)	200	124	80.99	+	1.53	2.60E-04	9.12E-03
regulation of plasma membrane bounded cell projection organization (GO:0120035)	631	391	255.53	+	1.53	4.14E-11	4.96E-09
synapse organization (GO:0050808)	289	179	117.03	+	1.53	1.13E-05	5.50E-04
regulation of neurotransmitter levels (GO:0001505)	218	135	88.28	+	1.53	1.46E-04	5.52E-03
positive regulation of cell projection organization (GO:0031346)	353	218	142.95	+	1.53	1.14E-06	6.78E-05
regulation of cell projection organization (GO:0031344)	648	400	262.41	+	1.52	3.50E-11	4.26E-09
kidney development (GO:0001822)	282	174	114.20	+	1.52	1.80E-05	8.20E-04
respiratory tube development (GO:0030323)	177	109	71.68	+	1.52	7.85E-04	2.42E-02
lung development (GO:0030324)	173	106	70.06	+	1.51	8.81E-04	2.67E-02
negative regulation of cell development (GO:0010721)	180	110	72.89	+	1.51	8.56E-04	2.62E-02
positive regulation of intracellular protein transport (GO:0090316)	185	113	74.92	+	1.51	6.44E-04	2.05E-02
regulation of cell size (GO:0008361)	185	113	74.92	+	1.51	6.44E-04	2.05E-02
rhythmic process (GO:0048511)	269	164	108.93	+	1.51	4.59E-05	1.95E-03
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	420	256	170.08	+	1.51	2.93E-07	1.97E-05
morphogenesis of a branching structure (GO:0001763)	169	103	68.44	+	1.51	1.22E-03	3.55E-02
cell fate commitment (GO:0045165)	238	145	96.38	+	1.50	1.35E-04	5.17E-03
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	166	101	67.22	+	1.50	1.40E-03	3.99E-02
peptidyl-lysine modification (GO:0018205)	305	185	123.51	+	1.50	1.80E-05	8.20E-04
regulation of synaptic plasticity (GO:0048167)	188	114	76.13	+	1.50	8.63E-04	2.63E-02
protein autophosphorylation (GO:0046777)	188	114	76.13	+	1.50	8.63E-04	2.63E-02
neuron projection development (GO:0031175)	691	419	279.82	+	1.50	7.52E-11	8.68E-09
cell junction organization (GO:0034330)	502	304	203.29	+	1.50	3.79E-08	2.92E-06
regulation of cell morphogenesis (GO:0022604)	310	187	125.54	+	1.49	2.06E-05	9.28E-04
regionalization (GO:0003002)	317	191	128.37	+	1.49	1.64E-05	7.53E-04
positive regulation of Wnt signaling pathway (GO:0030177)	186	112	75.32	+	1.49	1.02E-03	3.03E-02
regulation of cellular response to growth factor stimulus (GO:0090287)	299	180	121.08	+	1.49	3.57E-05	1.55E-03
epithelial tube morphogenesis (GO:0060562)	309	186	125.13	+	1.49	2.47E-05	1.10E-03
cell morphogenesis involved in differentiation (GO:0000904)	559	336	226.37	+	1.48	1.11E-08	9.41E-07
regulation of protein ubiquitination (GO:0031396)	213	128	86.25	+	1.48	4.74E-04	1.57E-02
positive regulation of intracellular transport (GO:0032388)	228	137	92.33	+	1.48	3.02E-04	1.04E-02
protein localization to cell periphery (GO:1990778)	233	140	94.35	+	1.48	2.78E-04	9.67E-03
regulation of protein modification by small protein conjugation or removal (GO:1903320)	245	147	99.21	+	1.48	2.02E-04	7.39E-03
regulation of cell development (GO:0060284)	500	299	202.48	+	1.48	1.04E-07	7.38E-06
